Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
52.5,3818005813,32492,117506.0,3578.5,620,66273083,1147459.9,cudaStreamSynchronize
34.5,2510123297,8,313765412.1,662704.5,3659,2498340013,882705928.3,cudaMallocHost
6.7,490487980,119330,4110.3,3168.0,2461,6697796,27095.5,cudaLaunchKernel
2.6,185564971,21851,8492.3,3518.0,1936,3544746,103696.7,cudaMemcpyAsync
2.1,149347898,17,8785170.5,10261.0,8550,148898462,36106424.9,cudaMemGetInfo
0.9,68283641,92,742213.5,684300.0,650649,2495711,241991.7,cudaGetDeviceProperties_v2_v12000
0.3,22300766,11,2027342.4,79715.0,8048,18195301,5426568.5,cudaFree
0.1,6262250,10,626225.0,119065.0,4094,5328402,1652962.3,cudaMalloc
0.1,5377113,7,768159.0,314192.0,6344,4007174,1437356.9,cudaFreeHost
0.1,4415738,1,4415738.0,4415738.0,4415738,4415738,0.0,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.0,2476079,1429,1732.7,1937.0,503,17347,965.4,cudaEventSynchronize
0.0,2119168,10,211916.8,15649.5,5886,1866450,582012.5,cudaMemsetAsync
0.0,1996086,1425,1400.8,1229.0,582,25975,1011.8,cudaEventRecord
0.0,1692125,120,14101.0,6342.5,5452,805624,73215.0,cudaMemcpy2DAsync
0.0,1078666,766,1408.2,148.0,92,382989,18557.3,cuGetProcAddress_v2
0.0,498000,3,166000.0,18241.0,9655,470104,263396.8,cudaStreamCreateWithFlags
0.0,444652,4,111163.0,2362.5,1437,438490,218218.6,cudaDeviceSynchronize
0.0,257238,22,11692.6,392.0,325,243733,51829.3,cudaEventCreateWithFlags
0.0,133016,1,133016.0,133016.0,133016,133016,0.0,cuMemSetAccess
0.0,63438,2,31719.0,31719.0,2005,61433,42021.9,cuInit
0.0,41264,1,41264.0,41264.0,41264,41264,0.0,cuMemUnmap
0.0,31791,1,31791.0,31791.0,31791,31791,0.0,cuMemCreate
0.0,30459,3,10153.0,10147.0,8397,11915,1759.0,cudaStreamDestroy
0.0,16752,22,761.5,408.0,333,4143,961.8,cudaEventDestroy
0.0,12612,1,12612.0,12612.0,12612,12612,0.0,cuMemAddressReserve
0.0,6102,1,6102.0,6102.0,6102,6102,0.0,cuMemAddressFree
0.0,2523,1,2523.0,2523.0,2523,2523,0.0,cuMemGetAllocationGranularity
0.0,2456,1,2456.0,2456.0,2456,2456,0.0,cuMemMap
0.0,1332,3,444.0,177.0,130,1025,503.7,cuModuleGetLoadingMode
0.0,241,1,241.0,241.0,241,241,0.0,cuMemRelease
