Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
71.1,9573299783,150759,63500.7,3695.0,602,30709758,445252.6,cudaStreamSynchronize
20.8,2801999609,20,140099980.5,756788.0,2398,2709900770,605130270.6,cudaMallocHost
3.1,411430717,116719,3525.0,2984.0,1694,6278930,20126.2,cudaMemcpyAsync
1.8,247446667,17816,13889.0,15899.0,4566,103741,8613.0,cudaGraphLaunch_v10000
1.2,161647302,32,5051478.2,11782.5,8139,161216809,28496920.9,cudaMemGetInfo
0.8,106123281,137,774622.5,697916.0,651007,6222487,505875.5,cudaGetDeviceProperties_v2_v12000
0.8,103294700,28382,3639.4,2968.0,668,6936999,54692.3,cudaLaunchKernel
0.1,19991363,12,1665946.9,53083.5,1929,16565753,4756143.0,cudaFree
0.1,10409384,89,116959.4,98057.0,28273,625992,94000.9,cudaGraphInstantiate_v12000
0.0,4822214,84,57407.3,1107.0,447,4710090,513765.9,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.0,4790800,244,19634.4,2863.0,2174,3941366,252106.3,cudaStreamBeginCapture_v10000
0.0,4515593,2173,2078.0,2016.0,522,27629,1443.4,cudaEventSynchronize
0.0,4502347,16,281396.7,326396.5,4850,561151,209430.8,cudaFreeHost
0.0,3997503,18,222083.5,96854.0,4215,2292640,519766.3,cudaMalloc
0.0,3471341,2165,1603.4,1343.0,578,29989,1293.3,cudaEventRecord
0.0,2326600,63,36930.2,2967.0,453,2013318,253147.1,cudaMemsetAsync
0.0,2297476,369,6226.2,6374.0,1212,35662,3337.8,cudaMemcpy2DAsync
0.0,2030590,244,8322.1,7789.0,1632,37245,5831.9,cudaGraphExecUpdate_v10020
0.0,1989484,163,12205.4,13147.0,2565,47087,6590.1,cudaGraphDestroy_v10000
0.0,439694,244,1802.0,1963.5,644,7628,874.6,cudaStreamEndCapture_v10000
0.0,344728,6,57454.7,15981.5,10096,271164,104810.4,cudaStreamCreateWithFlags
0.0,316197,44,7186.3,839.0,326,264778,39752.0,cudaEventCreateWithFlags
0.0,222908,766,291.0,167.0,101,2536,251.8,cuGetProcAddress_v2
0.0,206217,4,51554.3,51716.0,39978,62807,11209.2,cuMemSetAccess
0.0,177531,9,19725.7,1051.0,618,169572,56192.8,cudaStreamIsCapturing_v10000
0.0,167574,8,20946.8,13389.0,11676,48421,14503.1,cudaGraphExecDestroy_v10000
0.0,111735,4,27933.8,27760.0,25094,31121,2620.9,cuMemCreate
0.0,102535,1,102535.0,102535.0,102535,102535,0.0,cuMemUnmap
0.0,50626,5,10125.2,10209.0,6953,13283,2756.0,cudaStreamDestroy
0.0,22628,2,11314.0,11314.0,8345,14283,4198.8,cuMemAddressReserve
0.0,19167,4,4791.8,2883.0,1590,11811,4806.4,cudaDeviceSynchronize
0.0,13106,26,504.1,404.5,320,1490,335.7,cudaEventDestroy
0.0,9854,4,2463.5,2463.5,2380,2547,83.2,cuMemMap
0.0,9629,1,9629.0,9629.0,9629,9629,0.0,cuMemAddressFree
0.0,3642,2,1821.0,1821.0,1769,1873,73.5,cuInit
0.0,2654,1,2654.0,2654.0,2654,2654,0.0,cuMemGetAllocationGranularity
0.0,1295,3,431.7,147.0,144,1004,495.7,cuModuleGetLoadingMode
0.0,932,4,233.0,240.0,203,249,20.6,cuMemRelease
