Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
31.4,619169885,80,7739623.6,7307420.0,5398326,12302552,1512370.0,1024    1    1,  32    8    1,"void mul_mat_q<(ggml_type)10, (int)64, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
19.5,385305904,80,4816323.8,4524690.0,3214548,10486065,1464354.9,1024    1    1,  32    8    1,"void mul_mat_q<(ggml_type)10, (int)40, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
14.5,285372744,40,7134318.6,6779443.5,5104090,11387621,1368049.8,4096    1    1,  32    8    1,"void mul_mat_q<(ggml_type)11, (int)64, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
8.4,165722154,40,4143053.9,3922874.5,2852538,9035141,1195372.2,4096    1    1,  32    8    1,"void mul_mat_q<(ggml_type)11, (int)40, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
3.0,59854564,195,306946.5,98782.0,96447,1180176,305781.8,  20    1    1,  32    8    1,"void mul_mat_q<(ggml_type)22, (int)64, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
2.0,39979868,195,205025.0,65824.0,64191,768662,201854.7,  20    1    1,  32    8    1,"void mul_mat_q<(ggml_type)22, (int)40, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
1.8,35951706,40,898792.7,1165984.0,95166,1171952,469770.8,  20    1    1,  32    8    1,"void mul_mat_q<(ggml_type)12, (int)64, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
1.5,29729960,294,101122.3,57664.0,26048,340860,98799.7,  32    1   32,  32    4    1,"void gated_delta_net_cuda<(int)128, (bool)0, (bool)1>(const float *, const float *, const float *, const float *, const float *, const float *, float *, float *, long, long, long, long, long, long, long, long, long, long, long, long, uint3, uint3, float, long, int)"
1.2,23568735,40,589218.4,746518.0,62911,921331,310919.9,  20    1    1,  32    8    1,"void mul_mat_q<(ggml_type)12, (int)40, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
0.9,18408772,2,9204386.0,9204386.0,9203042,9205730,1900.7,1024    1    1,  32    8    1,"void mul_mat_q<(ggml_type)2, (int)64, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
0.8,14880549,264,56365.7,54623.5,48736,78367,5588.3,8192    1    1, 256    1    1,"void concat_non_cont<unsigned int, (int)0>(const char *, const char *, char *, long, long, long, long, unsigned long, unsigned long, unsigned long, unsigned long, long, long, long, long, unsigned long, unsigned long, unsigned long, unsigned long, long, long, long, long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.7,13036495,80,162956.2,163085.5,160638,168221,1839.6,1024    8    1,  32    4    1,"void mul_mat_vec_q_moe<(ggml_type)11, (int)2, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)"
0.6,11322181,2,5661090.5,5661090.5,5660946,5661235,204.4,1024    1    1,  32    8    1,"void mul_mat_q<(ggml_type)2, (int)40, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
0.5,9932433,80,124155.4,124238.5,121726,125599,842.3,1024    8    1,  32    3    1,"void mul_mat_vec_q_moe<(ggml_type)11, (int)2, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)"
0.5,9128835,1,9128835.0,9128835.0,9128835,9128835,0.0,4096    1    1,  32    8    1,"void mul_mat_q<(ggml_type)2, (int)64, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
0.5,9077089,80,113463.6,108158.5,105439,155038,10722.2, 256    8    1,  32    4    1,"void mul_mat_vec_q_moe<(ggml_type)10, (int)2, (bool)1>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)"
0.5,9053083,252,35924.9,19040.5,17824,57343,19024.1,1024    1    1,  32    4    1,"void mul_mat_vec_q<(ggml_type)22, (int)3, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.5,8922310,5,1784462.0,1685577.0,1682089,1997925,144909.0,248320    1    1,  32    4    1,"void mul_mat_vec_q<(ggml_type)2, (int)1, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.4,8067950,294,27442.0,27023.5,26112,31263,1109.9,   1  512    1, 256    1    1,"void k_get_rows_float_vec<float>(const T1 *, const int *, T1 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.4,7964370,114,69862.9,69855.0,69439,70975,255.2,4096    1    1,  32    4    1,"void mul_mat_vec_q<(ggml_type)12, (int)3, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.4,7896372,4,1974093.0,1973541.0,1972869,1976421,1597.7,248320    1    1,  32    2    1,"void mul_mat_vec_q<(ggml_type)13, (int)1, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.4,7648666,80,95608.3,95279.0,85407,104766,4038.6, 256    8    1,  32    3    1,"void mul_mat_vec_q_moe<(ggml_type)10, (int)2, (bool)1>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)"
0.4,7067422,114,61994.9,61983.0,61567,62559,176.6,2048    1    1,  32    4    1,"void mul_mat_vec_q<(ggml_type)22, (int)3, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.3,6630051,15,442003.4,612152.0,99614,614711,250090.8,  20    1    1,  32    8    1,"void mul_mat_q<(ggml_type)21, (int)64, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
0.3,6145776,120,51214.8,50847.0,49567,62431,2468.7,  20    1    1,  32    8    1,"void mul_mat_q<(ggml_type)22, (int)64, (bool)1>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
0.3,5741201,1,5741201.0,5741201.0,5741201,5741201,0.0,4096    1    1,  32    8    1,"void mul_mat_q<(ggml_type)2, (int)40, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
